阿拉伯语 a1'la1'bo2'yu3
唇红齿白 chun2'hong2'chi3'bai2
唇枪舌剑 chun2'qiang1'she2'jian4
唇亡齿寒 chun2'wang2'chi3'han2
蠢蠢欲动 chun3'chun3'yu4'dong4
戳脊梁骨 chuo1'ji3'liang'gu3
绰绰有余 chuo4'chuo4'you3'yu2
词不达意 ci2'bu4'da2'yi4
慈眉善目 ci2'mei2'shan4'mu4
此起彼伏 ci3'qi3'bi3'fu2
刺刺不休 ci4'ci4'bu4'xiu1
从长计议 cong2'chang2'ji4'yi4
从容不迫 cong2'rong2'bu4'po4
从善如流 cong2'shan4'ru2'liu2
从天而降 cong2'tian1'er2'jiang4
从一而终 cong2'yi1'er2'zhong1
粗茶淡饭 cu1'cha2'dan4'fan4
粗手笨脚 cu1'shou3'ben4'jiao3
粗心大意 cu1'xin1'da4'yi4
粗枝大叶 cu1'zhi1'da4'ye4
粗制滥造 cu1'zhi4'lan4'zao4
粗中有细 cu1'zhong1'you3'xi4
促膝谈心 cu4'xi1'tan2'xin1
